date,Open,High,Low,Final,Volume,Close
2001-03-25,26000,26000,24885,24885,4520,24885
2001-03-26,24885,24885,24885,24885,45,24885
2001-04-08,25000,25000,25000,25000,2000,25000
2001-04-10,25003,25003,25003,25003,70,25003
2001-04-15,25010,25010,25010,25010,120,25010
2001-04-18,25035,25035,25034,25034,1120,25034
2001-04-21,25200,25300,25200,25300,3070,25300
2001-04-22,25400,25500,25400,25500,5804,25500
2001-04-23,25500,25600,25500,25600,2000,25600
2001-04-24,25700,25700,25700,25700,74696,25700
2001-04-25,25701,25702,25701,25701,56,25701
2001-04-29,26001,26003,26001,26002,1411,26002
2001-04-30,26005,26008,26005,26007,156,26007
2001-05-01,26200,26210,26200,26210,700,26210
2001-05-12,27520,27520,27520,27520,2847,27520
2001-05-13,27520,27520,27520,27520,287,27520
2001-05-29,33000,34000,32001,32001,828,32001
2001-05-30,33600,33601,32600,33601,3178,33601
2001-06-02,33602,33602,33602,33602,300,33602
2001-06-12,35279,35280,35279,35280,2795,35280
2001-06-13,35280,35281,35279,35279,1530,35279
2001-06-16,35275,35280,35275,35280,3413,35280
2001-06-18,35310,35324,35310,35324,1449,35324
2001-06-19,36160,36207,36160,36207,1015,36207
2001-06-20,36207,36228,36207,36228,601,36228
2001-06-26,37133,37133,37133,37133,1300,37133
2001-07-03,38989,38989,38989,38989,1460,38989
2001-07-08,39378,39378,39378,39378,3196,39378
2001-07-25,21000,22250,16200,22250,35757,22250
2001-07-28,22806,22806,22806,22806,2950,22806
2001-08-15,23034,23034,23034,23034,1000,23034
2001-08-21,23264,23264,23264,23264,1000,23264
2001-08-27,23496,23496,23496,23496,1104,23496
2001-09-01,23730,23730,23730,23730,1000,23730
2001-09-02,23967,23967,23967,23967,1000,23967
2001-09-03,24206,24206,24206,24206,1000,24206
2001-09-04,24448,24448,24448,24448,6035,24448
2001-09-05,24692,24692,24692,24692,1250,24692
2001-09-08,24938,24938,24938,24938,1250,24938
2001-09-09,25000,25187,25000,25187,201428,25187
2001-09-10,25438,25438,24938,25437,35947,25437
2001-09-11,25431,25450,25430,25450,6286,25450
2001-09-12,25438,25438,25196,25196,2139,25196
2001-09-15,24945,24945,24945,24945,9000,24945
2001-09-19,24696,24945,24696,24945,24384,24945
2001-09-22,25000,25000,24999,24999,3796,24999
2001-09-23,24999,25000,24999,25000,3121,25000
2001-09-24,24999,24999,24999,24999,650,24999
2001-09-30,24999,24999,24750,24750,10150,24750
2001-10-03,24503,24503,24503,24503,1000,24503
2001-10-06,24258,24258,24258,24258,1051,24258
2001-10-07,24016,24500,24016,24500,17678,24500
2001-10-08,24500,24500,24500,24500,70,24500
2001-10-10,24255,24255,24255,24255,1000,24255
2001-10-16,24013,24013,24013,24013,700,24013
2001-10-20,23773,23773,23773,23773,1000,23773
2001-10-21,23536,23536,23536,23536,46805,23536
2001-10-22,23771,23771,23771,23771,2000,23771
2001-10-23,24000,24008,24000,24008,7368,24008
2001-10-24,24248,24248,24248,24248,11690,24248
2001-10-27,24490,24490,24488,24490,4210,24490
2001-10-28,24490,24490,24490,24490,1970,24490
2001-10-29,24490,24490,24489,24490,1418,24490
2001-10-31,24246,24478,24246,24478,3830,24478
2001-11-04,24475,24478,24475,24478,570,24478
2001-11-05,24478,24478,24478,24478,500,24478
2001-11-06,24722,24722,24722,24722,2700,24722
2001-11-07,24734,24734,24722,24722,358,24722
2001-11-10,24722,24735,24722,24735,2470,24735
